Hospital,Billing Amount
Johnson PLC,1081477.311987757
LLC Smith,1030189.8722479497
Smith PLC,1029424.449116314
Ltd Smith,1003365.5277071942
Smith Ltd,970035.8657058084
Johnson Inc,934310.7280587761
Group Smith,902975.7874592737
Inc Brown,877961.3147981077
LLC Johnson,816438.3536878256
Smith Group,806631.2907331104
Inc Jones,804936.4420171926
Brown Inc,790322.5731662991
Smith Inc,772256.4955707154
Inc Smith,770747.9334182317
Johnson Group,734430.5492076017
PLC Williams,731847.9637775752
Smith LLC,731683.6460605128
Johnson Ltd,729445.3746131796
Group Johnson,722079.9216538734
Inc Williams,716737.4657689084
Williams LLC,710196.1775018991
Miller Inc,693787.7316709736
PLC Smith,693760.3574496494
LLC Williams,674293.4860185225
Williams Group,637717.4664807393
Johnson LLC,622942.5382503758
Brown PLC,611622.6047754397
Ltd Brown,592984.12090872
Inc Johnson,587331.7681231427
Brown LLC,569869.3134594128
Jones Group,561445.834722519
Ltd Jones,559104.7558746708
Inc Rodriguez,558598.9665811744
Williams Ltd,558464.2962604366
PLC Rodriguez,558175.6977841941
Jones LLC,553630.3891305395
Group Davis,553317.2304474053
Jones Ltd,544102.6291808564
Brown Group,528988.4307106431
Williams PLC,525107.1285962029
Ltd Johnson,515747.70093494415
Williams Inc,510634.2913033524
Group Brown,506359.20810304425
Inc Jackson,500016.6199356652
LLC Garcia,480997.1376763318
PLC Brown,480437.9790520322
Ramirez Group,478871.9058400254
Jones Inc,472898.7586554456
Group Miller,463930.7017643389
Miller LLC,461446.6752338053
Brown Ltd,460110.0004572121
Miller Ltd,457909.89145383507
Garcia Group,452471.17336495174
LLC Brown,450130.9162619376
Miller PLC,448844.910289065
Ltd Miller,446874.53056525113
Lopez PLC,446579.7825052821
Martin Inc,446391.4593693244
White Inc,442265.98420348397
PLC Johnson,437393.4884533833
LLC Jones,435557.8995748282
Wilson Group,432120.1218881645
Moore LLC,431483.7633964606
Garcia PLC,428346.5977404602
Davis Group,419919.0559260848
Davis Inc,419655.3615700512
LLC Clark,416824.1359262611
Hernandez Ltd,416027.2218218452
Green PLC,404319.08698158734
